num_tasks,burst_mean,burst_std,arrival_mean,arrival_std,burst_min,burst_max,arrival_min,arrival_max,best_algo
10,8.7,5.950630218724736,4.0,1.7888543819998317,1,19,2,7,1
4,11.75,0.82915619758885,5.25,1.920286436967152,11,13,2,7,0
4,7.0,6.59545297913646,5.5,2.0615528128088303,1,18,3,8,1
7,11.142857142857142,4.969293465978882,5.857142857142857,1.8070158058105026,1,17,3,9,0
3,11.666666666666666,7.586537784494029,5.0,3.7416573867739413,1,18,0,9,1
7,11.285714285714286,4.130523512800274,4.0,2.9760952365713798,3,17,0,9,0
15,11.533333333333333,5.702241274758159,6.133333333333334,2.3055488621054105,3,19,1,9,1
5,11.2,4.833218389437828,1.4,1.019803902718557,5,18,0,3,0
15,8.733333333333333,4.878068834647125,3.3333333333333335,2.8205594401741574,2,17,0,9,0
5,13.2,4.707440918375928,4.2,3.3105890714493698,4,17,0,9,2
14,11.785714285714286,5.387532849466593,4.214285714285714,2.6773806877130446,1,19,1,9,1
12,8.0,3.9370039370059056,3.3333333333333335,2.560381915956203,3,16,0,7,0
6,11.0,4.96655480858378,4.5,3.5,5,18,0,9,2
8,9.625,4.270172713134681,4.5,2.5,3,17,0,9,0
4,6.75,2.48746859276655,3.25,2.7726341266023544,5,11,1,8,0
8,9.25,5.673402858955108,4.875,3.295356581616017,1,17,0,9,1
13,8.23076923076923,5.911577248258723,4.769230769230769,3.1660177888087193,1,17,0,9,1
4,13.0,5.049752469181039,4.0,2.345207879911715,5,19,0,6,1
11,11.181818181818182,5.920967086521375,5.454545454545454,2.675261630829484,1,18,1,8,1
6,11.333333333333334,4.749268949591669,6.666666666666667,2.1343747458109497,3,18,3,9,0
12,7.5,5.090841449767088,4.75,2.2407216099581255,1,17,1,9,1
8,10.0,4.924428900898052,3.75,2.947456530637899,2,17,0,9,0
14,10.285714285714286,5.105019538630183,3.9285714285714284,2.6039608762225974,2,19,0,8,1
6,8.333333333333334,4.921607686744467,2.0,1.2909944487358056,2,16,0,4,0
13,10.076923076923077,5.608531118017903,5.538461538461538,2.468739467058648,3,19,2,9,1
3,8.666666666666666,6.79869268479038,4.333333333333333,2.8674417556808756,2,18,1,8,1
14,9.642857142857142,5.911334667485881,5.357142857142857,2.7930306851453075,2,19,0,9,1
15,10.466666666666667,5.713920623257632,4.933333333333334,2.1437246921084703,2,19,2,8,1
8,11.5,4.5,4.75,2.9047375096555625,3,18,1,8,0
4,7.75,5.11737237261468,5.0,1.5811388300841898,3,16,3,7,1
4,12.75,3.112474899497183,5.5,2.5,8,16,3,8,0
6,7.333333333333333,3.7712361663282534,5.333333333333333,2.6874192494328497,2,12,0,8,0
7,8.714285714285714,4.589250972631145,5.142857142857143,3.6811710647786073,4,16,0,9,2
4,11.0,1.224744871391589,5.75,1.7853571071357126,10,13,3,8,0
7,8.714285714285714,5.624291338579865,4.714285714285714,2.0503857277724746,1,17,1,7,1
4,7.0,2.23606797749979,4.5,2.692582403567252,4,10,1,8,0
11,7.818181818181818,5.373642438593327,5.454545454545454,2.535695578360246,1,18,0,9,1
3,13.333333333333334,5.90668171555645,2.6666666666666665,1.699673171197595,5,18,1,5,1
14,10.214285714285714,4.916133373591361,3.9285714285714284,2.987217666618069,2,18,0,9,0
14,8.071428571428571,4.165578089092381,2.642857142857143,2.4380068808394304,2,15,0,8,0
3,13.666666666666666,4.189935029992179,2.6666666666666665,2.494438257849294,8,18,0,6,0
4,6.25,4.602988159880492,4.75,1.479019945774904,2,13,3,7,0
8,10.0,4.183300132670378,3.625,2.6427968139832467,5,17,1,9,0
13,11.461538461538462,6.307692307692308,4.538461538461538,3.1529079279875685,2,19,0,9,1
11,10.727272727272727,5.2930642283671405,3.5454545454545454,2.535695578360246,4,19,0,8,1
3,12.0,3.7416573867739413,5.333333333333333,1.699673171197595,7,16,3,7,0
9,12.11111111111111,4.306182750016911,3.0,2.1081851067789197,5,17,0,7,0
9,11.333333333333334,6.683312551921141,4.666666666666667,3.4641016151377544,1,19,0,9,1
14,10.571428571428571,5.287644435234785,3.642857142857143,2.223483202324769,3,18,0,8,1
7,10.0,4.503966505838413,5.285714285714286,2.962348764761103,3,15,0,9,0
6,11.833333333333334,5.6984403324262525,5.666666666666667,2.560381915956203,2,19,1,9,1
9,9.333333333333334,5.0771820705759385,4.888888888888889,3.1778554769055756,2,17,0,9,1
5,10.0,6.260990336999411,2.4,1.4966629547095767,1,18,0,4,1
10,9.5,5.352569476429054,5.1,2.5865034312755126,1,17,1,9,1
9,8.777777777777779,3.705184889007348,5.333333333333333,2.3570226039551585,3,13,2,9,0
12,9.75,5.3091901453988255,5.5,2.254624876411447,1,19,0,8,1
10,9.8,5.979966555090422,3.9,3.144837038703278,1,18,0,9,1
3,10.0,5.715476066494082,7.666666666666667,1.8856180831641267,5,18,5,9,1
5,10.4,3.8262252939417984,3.6,2.727636339397171,7,16,0,8,0
8,11.25,6.239991987174342,4.25,3.031088913245535,2,19,0,9,1
11,7.818181818181818,4.763844547845055,4.0,2.522624895547565,1,14,0,7,0
6,12.333333333333334,3.7712361663282534,3.8333333333333335,3.337497399083464,5,16,0,9,2
10,11.5,4.674398357008098,3.1,3.448187929913334,4,19,0,9,2
15,10.333333333333334,5.473166867139677,5.4,2.244994432064365,1,19,1,9,1
11,11.909090909090908,5.247588978058841,3.090909090909091,2.2745447278539643,2,19,0,6,1
15,9.6,5.450382249591919,4.866666666666666,2.985892756874492,1,17,1,9,1
7,12.0,3.2071349029490928,5.285714285714286,2.2497165354319457,7,18,1,7,0
15,10.066666666666666,5.801915392542554,4.133333333333334,2.1561282171728307,2,18,1,9,1
10,8.7,5.814636704042653,2.8,2.85657137141714,1,19,0,9,1
8,10.75,4.085033659592048,5.375,2.4462982238476156,3,17,0,8,0
14,11.214285714285714,4.973911531015339,4.428571428571429,2.9450754468697573,1,19,0,9,0
8,9.25,4.683748498798798,5.375,3.2379584617471546,3,19,0,8,2
6,7.166666666666667,3.0776975521032313,4.5,3.253203549323856,3,11,0,8,2
11,10.090909090909092,6.171113726718961,5.0,2.2962419891481978,1,19,0,8,1
14,7.928571428571429,6.2274081482506,4.857142857142857,2.747912008810192,1,19,0,9,1
7,13.285714285714286,4.831867007225075,3.7142857142857144,2.962348764761103,5,19,0,8,0
4,10.75,3.2691742076555053,3.0,2.0,6,15,1,5,0
6,13.166666666666666,4.524623986832743,3.3333333333333335,3.39934634239519,7,19,0,9,2
9,7.777777777777778,5.472715713788778,3.0,1.632993161855452,2,17,0,5,1
7,7.571428571428571,5.7534373044577904,4.0,2.9760952365713798,1,17,0,8,1
7,10.571428571428571,6.694499722205704,6.0,2.5634797778466227,1,18,2,9,1
15,12.266666666666667,3.567756842735907,5.0,2.280350850198276,6,17,1,8,0
8,10.875,5.967359131140006,4.625,2.2325713874364688,1,19,1,8,1
12,11.333333333333334,4.678556282539399,5.416666666666667,2.3258809561588105,1,19,0,8,0
11,7.909090909090909,5.517814874724915,5.090909090909091,2.8108408788618737,1,17,0,9,1
11,10.727272727272727,5.971004317699283,4.454545454545454,2.5712973861329003,2,19,1,9,1
6,7.833333333333333,3.435921354681384,3.0,2.581988897471611,2,12,0,7,0
13,13.076923076923077,4.141005794983006,4.615384615384615,3.101822331331685,6,19,0,9,2
9,7.222222222222222,5.0061690338083595,3.7777777777777777,2.096440251568134,3,17,0,7,1
12,9.916666666666666,5.936586186989587,4.833333333333333,3.0505008696205214,1,18,1,9,1
4,11.0,5.431390245600108,5.0,3.082207001484488,3,16,0,8,1
12,11.333333333333334,3.9440531887330774,5.75,3.112474899497183,3,17,1,9,2
14,11.428571428571429,5.996597674804387,4.5,2.0615528128088303,1,19,1,8,1
8,11.25,5.629165124598851,4.625,1.9324531042175384,2,18,1,8,1
8,9.125,4.456385867493972,3.625,2.1758618981911515,2,14,0,6,0
9,10.666666666666666,5.656854249492381,5.111111111111111,2.469567863432541,5,19,2,9,1
8,8.75,5.606915373001451,4.625,2.496873044429772,1,18,1,8,1
10,8.3,4.124318125460256,4.4,1.9078784028338913,1,15,1,8,0
3,9.0,5.715476066494082,3.6666666666666665,2.6246692913372702,1,14,0,6,1
9,11.555555555555555,6.567785202725177,4.444444444444445,3.130889511912305,1,19,0,9,1
5,14.4,2.939387691339814,4.0,3.03315017762062,9,17,0,9,2
9,9.222222222222221,6.214280646270916,3.3333333333333335,2.9439202887759484,1,19,0,8,1
10,13.6,5.043808085167396,5.1,1.7578395831246945,4,19,2,8,1
7,10.428571428571429,5.233331166861201,5.142857142857143,2.5872528966106905,1,19,1,9,1
3,17.666666666666668,1.247219128924647,5.0,2.943920288775949,16,19,2,9,0
3,9.666666666666666,5.90668171555645,7.333333333333333,2.357022603955158,5,18,4,9,1
5,11.2,6.305553108173779,3.2,1.7204650534085253,3,17,1,6,1
11,11.636363636363637,4.715019083596342,3.727272727272727,2.596883064924673,3,19,1,8,0
4,8.0,1.8708286933869707,5.5,1.8027756377319946,6,11,3,8,0
12,13.416666666666666,3.9042355917074927,5.0,3.0276503540974917,8,19,0,9,2
8,7.875,5.818880906153691,3.875,2.7585095613392387,1,17,0,9,1
5,7.4,5.0039984012787215,3.8,2.4,3,14,0,6,1
13,10.0,5.068758002934022,5.153846153846154,3.0595664309771293,2,18,1,9,1
3,11.666666666666666,4.189935029992179,4.333333333333333,2.6246692913372702,6,16,2,8,0
6,10.666666666666666,5.497474167490214,5.5,2.140872096444188,1,17,2,9,1
5,11.8,5.491812087098392,5.0,4.09878030638384,3,18,0,9,1
8,6.875,4.013648589500581,3.375,2.057759704144291,2,13,0,6,0
15,8.0,5.513619500836088,5.266666666666667,2.4073960113690385,1,19,1,9,1
11,9.181818181818182,6.7125145243544475,6.363636363636363,2.185602778212965,1,18,1,9,1
8,8.25,5.825590098865522,4.75,3.152380053229623,2,19,0,9,1
7,11.0,3.927922024247863,4.714285714285714,1.9794866372215738,5,17,2,9,0
11,11.545454545454545,5.662695091780886,4.818181818181818,3.1570464280336976,3,18,0,9,1
10,10.7,4.859012245302537,7.2,2.5612496949731396,1,17,1,9,0
11,12.545454545454545,5.01567789968499,4.181818181818182,2.9485954073139737,5,19,0,9,1
15,12.0,4.442221666388715,5.266666666666667,2.594010194445829,4,18,0,9,0
6,8.166666666666666,3.0230595245361758,4.166666666666667,1.950783318453271,4,14,1,7,0
9,14.11111111111111,2.1829869671542776,4.666666666666667,2.6666666666666665,10,17,1,9,0
12,10.5,5.780715065341542,4.583333333333333,3.01270458042087,1,19,0,9,1
6,12.833333333333334,2.9107081994288304,1.8333333333333333,1.4624940645653537,8,17,0,4,0
15,11.6,6.1838499334961226,5.533333333333333,2.6549743668986503,1,19,0,9,1
5,6.6,6.053098380168622,4.4,0.7999999999999999,2,17,3,5,1
7,10.857142857142858,5.409741779646139,5.428571428571429,2.610809554642438,4,19,1,9,1
8,8.25,5.695392874947259,4.875,3.3330729064933458,1,17,0,9,1
7,10.857142857142858,6.356741560367712,4.142857142857143,1.8070158058105026,1,17,1,6,1
13,9.923076923076923,5.889515305400299,3.1538461538461537,3.008862648555069,1,18,0,9,1
5,13.0,3.5777087639996634,6.0,2.6832815729997477,9,17,1,9,0
13,10.307692307692308,4.920672489759839,5.076923076923077,2.70217970311543,3,19,0,9,0
14,8.642857142857142,4.433752729382427,5.214285714285714,2.3353975320388303,1,18,0,8,0
10,10.5,4.201190307520001,6.0,3.0983866769659336,3,16,0,9,2
6,12.166666666666666,4.524623986832743,4.166666666666667,2.5440562537456244,4,19,2,9,0
13,9.153846153846153,5.530977849922322,4.0,2.57203899958469,2,19,1,8,1
5,12.2,5.2687759489277965,4.2,3.1240998703626617,6,19,0,9,1
4,8.5,1.8027756377319946,3.5,1.8027756377319946,6,11,1,6,0
9,9.666666666666666,6.0,3.5555555555555554,2.5867659392939593,1,19,0,7,1
10,9.8,4.812483766206386,4.7,3.257299494980466,2,17,0,9,2
3,10.333333333333334,4.921607686744467,7.0,1.4142135623730951,4,16,6,9,0
14,10.714285714285714,4.604788988938914,4.214285714285714,2.980378006432152,3,19,0,9,0
5,7.4,4.8,7.0,1.7888543819998317,3,15,4,9,0
5,9.8,5.1536394906900505,4.2,2.4819347291981715,5,19,0,7,1
10,10.3,5.692978130996114,4.7,2.9342801502242417,3,19,1,9,1
11,9.0,5.308655025693248,5.0,2.593698657761292,1,17,0,9,1
11,9.272727272727273,5.34434125698148,6.090909090909091,1.9750509984000393,1,18,3,9,1
12,9.75,5.417948566262573,4.0,2.516611478423583,1,19,0,9,1
13,9.76923076923077,3.422860840197998,3.923076923076923,2.894598111111812,2,16,0,9,0
15,11.866666666666667,5.92021020647822,5.8,2.535087112244206,1,19,1,9,1
4,11.25,1.920286436967152,7.5,0.8660254037844386,8,13,6,8,0
12,9.916666666666666,4.462031176742518,3.3333333333333335,2.5603819159562025,3,16,0,9,0
13,7.153846153846154,4.382590625613574,5.769230769230769,2.777764628502737,1,18,0,9,0
14,12.142857142857142,4.852939357560866,4.714285714285714,2.9137254363387344,1,18,0,9,0
15,7.466666666666667,3.7570674142947658,5.066666666666666,2.6449112566503166,3,16,0,9,0
13,9.23076923076923,4.135286170989419,5.461538461538462,2.4056147340172136,3,18,1,9,0
12,9.666666666666666,5.265189666310438,5.25,2.6496855159307744,1,17,2,9,1
5,12.4,2.4166091947189146,4.6,3.2,8,15,0,9,2
5,8.8,5.912698199637793,5.0,2.8284271247461903,3,16,0,8,1
9,9.666666666666666,4.876246279442598,4.666666666666667,2.581988897471611,4,16,2,9,0
6,4.833333333333333,5.550275268448905,4.0,3.1091263510296048,1,17,0,8,1
11,10.545454545454545,6.257557414310189,5.909090909090909,2.906248611481051,1,19,1,9,1
7,11.428571428571429,4.337778985911137,6.428571428571429,2.3211538298959886,6,19,2,9,0
9,9.333333333333334,5.517648452415616,6.666666666666667,2.1602468994692865,2,19,3,9,1
4,8.0,4.47213595499958,2.0,1.5811388300841898,2,14,0,4,0
9,12.0,5.395471352079548,5.555555555555555,2.408831487630978,3,19,2,9,1
5,9.8,5.381449618829484,2.6,1.3564659966250538,2,17,1,5,1
15,9.933333333333334,5.824850975680742,3.6666666666666665,2.4675674031095665,1,19,0,7,1
10,10.4,5.96992462263972,2.9,2.0223748416156684,1,19,0,8,1
10,12.2,6.029925372672534,4.1,2.7,2,19,0,8,1
8,7.75,5.5170191226784775,2.625,1.79843682124227,1,19,0,6,1
6,10.5,3.9895697345286076,4.833333333333333,2.6718699236468995,5,16,1,9,0
7,11.428571428571429,4.865538961693257,5.571428571428571,3.4166459266003995,5,19,1,9,2
9,9.666666666666666,5.497474167490214,4.0,2.449489742783178,1,18,1,7,1
4,8.75,3.897114317029974,6.25,1.0897247358851685,3,14,5,8,0
12,7.0,4.795831523312719,3.8333333333333335,2.034425935955617,1,16,0,7,0
4,10.75,4.437059837324712,6.75,2.277608394786075,5,16,4,9,0
14,8.285714285714286,5.174505793221381,5.642857142857143,2.4671308627386495,1,18,2,9,1
6,11.5,5.377421934967226,3.8333333333333335,2.3392781412697,3,17,1,7,1
13,8.923076923076923,5.690228310432902,5.076923076923077,3.173484822267118,1,19,0,9,1
11,13.0,5.2048928030180495,4.545454545454546,2.5712973861329003,1,18,0,8,1
6,10.833333333333334,4.374801582802229,6.166666666666667,2.4776781245530843,6,19,3,9,0
12,9.833333333333334,3.8477987935383986,3.5,2.533114025595111,4,16,0,9,0
3,16.666666666666668,1.247219128924647,6.0,2.449489742783178,15,18,3,9,0
5,9.0,4.857983120596447,4.6,3.006659275674582,3,16,1,9,2
12,8.333333333333334,5.343739847293799,5.416666666666667,3.0402393911591163,1,19,0,9,1
14,10.642857142857142,4.775041403816648,4.214285714285714,2.90759034814966,2,17,0,9,0
5,11.4,6.6513156593263565,7.2,1.8330302779823362,2,19,4,9,1
6,9.666666666666666,4.189935029992179,3.1666666666666665,2.7335365778094545,6,18,1,9,0
10,10.1,4.90815647672321,4.4,2.4576411454889016,2,18,0,8,0
13,10.615384615384615,4.270443348240619,3.923076923076923,2.6153846153846154,4,19,0,8,0
6,11.5,4.716990566028302,4.666666666666667,3.34995854037363,5,18,0,9,2
14,7.214285714285714,6.438484420471409,5.571428571428571,2.527400858993447,1,19,0,9,1
9,11.333333333333334,3.8873012632302,5.111111111111111,2.8458329944145997,4,18,0,9,0
6,11.833333333333334,4.913134324327892,3.0,3.0550504633038935,6,18,0,7,2
3,5.0,2.160246899469287,4.333333333333333,3.299831645537222,3,8,0,8,2
9,10.333333333333334,4.784233364802442,4.555555555555555,2.671292284482513,2,18,0,9,0
12,8.916666666666666,4.405646629295434,4.25,2.742413778650722,1,15,0,8,0
7,8.285714285714286,6.134545872452541,5.428571428571429,2.498979383505129,2,19,2,9,1
11,10.181818181818182,3.9730497060749377,4.818181818181818,2.9792672014861705,5,16,0,9,0
4,12.25,2.384848003542364,3.5,3.2015621187164243,9,15,0,8,2
8,10.5,5.5901699437494745,3.375,2.912795049432761,3,19,0,9,1
14,10.285714285714286,5.560428701722447,4.285714285714286,3.1493439550069433,2,18,0,9,1
10,10.0,3.9496835316262997,5.7,2.934280150224242,4,15,0,9,0
15,12.066666666666666,5.065789397736765,6.133333333333334,2.4729649321321876,3,19,1,9,1
14,9.5,5.8401320924395925,5.357142857142857,2.0565971498411386,2,18,2,9,1
14,10.357142857142858,5.874972861422338,4.928571428571429,2.7636488745933003,2,19,0,9,1
5,10.2,4.791659420284375,5.2,2.3151673805580453,4,16,2,8,0
8,8.5,5.385164807134504,3.0,2.5495097567963922,3,19,0,8,1
13,9.0,5.710988059467872,5.0,2.935197542821371,1,18,0,9,1
13,6.384615384615385,5.357072414301585,5.846153846153846,2.655796384866472,1,19,0,9,1
7,9.142857142857142,4.485805276602166,6.285714285714286,2.1852940772540506,1,13,2,8,0
5,9.2,5.491812087098393,5.8,3.0594117081556713,2,17,1,9,1
11,8.545454545454545,5.8366185160998265,4.545454545454546,2.8719216361693296,1,16,0,9,1
9,8.0,4.9216076867444665,4.777777777777778,3.7646831880216483,3,19,0,9,2
11,9.909090909090908,5.035411790591356,4.7272727272727275,3.1069104528427385,3,19,0,9,1
9,10.222222222222221,6.106058517348482,4.666666666666667,3.265986323710904,1,18,0,9,1
7,6.571428571428571,3.8861344310672696,4.285714285714286,3.010186786529354,2,13,0,8,2
5,9.4,5.0039984012787215,3.8,3.0594117081556713,3,17,0,9,1
12,11.416666666666666,6.116348765580836,4.416666666666667,2.812422838447701,1,18,0,9,1
10,7.9,5.699999999999999,4.7,2.9681644159311658,1,16,0,9,1
11,10.181818181818182,5.9820668641316725,5.363636363636363,2.42234774444986,1,18,0,9,1
12,9.916666666666666,5.376776192312846,4.666666666666667,2.718251071716682,1,17,0,9,1
14,10.357142857142858,5.4981443994073755,3.5714285714285716,2.821202522590214,1,18,0,9,1
10,10.6,5.782732917920384,3.2,2.7856776554368237,1,18,0,8,1
7,12.285714285714286,5.7498890849994595,4.0,3.8172540616821107,5,19,0,9,1
3,14.666666666666666,3.39934634239519,6.666666666666667,0.9428090415820634,10,18,6,8,0
15,9.066666666666666,6.038395666252935,4.8,3.31058907144937,1,18,0,9,1
7,10.428571428571429,4.06578556307363,3.857142857142857,1.7261494247992246,4,15,2,7,0
14,10.285714285714286,5.3375833406484015,4.285714285714286,2.762725657973388,4,19,0,9,1
14,8.0,5.68205194324324,5.142857142857143,2.6954231805876008,2,19,1,9,1
11,9.454545454545455,5.069761270399522,4.363636363636363,1.6663911618021234,2,17,1,6,1
14,11.214285714285714,5.894047498821785,4.714285714285714,3.260774917289522,1,19,0,9,1
10,10.3,4.859012245302536,5.4,3.261901286060018,1,17,0,9,2
15,10.133333333333333,4.364503280888775,3.933333333333333,3.2138588781850532,4,19,0,9,2
15,11.4,5.896891836665595,5.2,2.7616420236277306,1,19,0,9,1
14,10.5,6.34428877022476,3.642857142857143,2.8437184624849117,1,17,0,8,1
7,9.571428571428571,5.996597674804387,5.142857142857143,3.270149469217028,1,18,1,9,1
11,10.363636363636363,4.715019083596342,3.8181818181818183,3.325334756031251,3,18,0,9,2
12,10.416666666666666,4.536120466752276,5.0,3.2145502536643185,3,16,0,9,2
10,13.9,4.570557952810575,3.5,2.692582403567252,5,19,0,7,0
12,12.583333333333334,6.317414203787989,3.1666666666666665,3.0230595245361758,1,19,0,8,1
6,13.666666666666666,6.1553951042064625,4.5,3.3541019662496847,2,19,0,9,1
13,9.384615384615385,6.3553546356107224,5.230769230769231,2.912937881347921,1,18,1,9,1
9,9.777777777777779,4.893936787898943,7.333333333333333,1.4907119849998598,3,18,4,9,0
15,9.733333333333333,5.650565360111225,4.066666666666666,2.8158282775923835,1,18,1,9,1
11,8.0,5.640760748177662,3.090909090909091,2.906248611481051,2,18,0,9,1
8,10.125,7.043392293490403,3.625,3.276335605520289,1,18,0,9,1
4,9.75,5.2141634036535525,5.75,3.6996621467371855,4,18,0,9,1
15,6.533333333333333,3.930507459462313,4.8,3.0594117081556713,1,15,0,9,2
13,9.384615384615385,4.86017507659425,4.0,3.3968311024337874,3,19,0,9,2
9,9.666666666666666,4.08248290463863,3.888888888888889,3.1426968052735447,3,15,0,9,2
5,8.8,4.48998886412873,3.0,2.3664319132398464,4,16,0,7,0
15,10.933333333333334,5.372357231441541,3.933333333333333,2.862788073811185,2,19,0,8,1
11,10.272727272727273,4.265952075145479,3.4545454545454546,3.2853292726532093,1,15,0,9,2
5,11.6,5.161395160225576,3.4,1.9595917942265426,5,18,1,7,1
8,13.625,3.637908052713812,3.75,3.526683994916471,9,19,0,9,2
5,13.8,4.955804677345546,5.4,2.1540659228538015,5,19,2,8,0
4,11.0,4.847679857416329,3.5,0.8660254037844386,3,16,2,4,0
9,13.666666666666666,4.9216076867444665,5.0,2.788866755113585,3,19,1,9,0
10,11.0,6.648308055437865,4.9,2.947880594596735,2,19,0,8,1
9,9.88888888888889,5.68515502465157,4.222222222222222,3.4889596595794625,4,19,0,9,1
3,7.0,2.160246899469287,7.0,1.4142135623730951,5,10,6,9,0
14,10.928571428571429,4.920282885512721,4.928571428571429,2.5485089678444677,4,19,1,9,0
9,9.333333333333334,3.6514837167011076,5.333333333333333,1.9436506316151,4,15,1,7,0
8,10.25,6.015604707757983,5.0,2.1213203435596424,1,19,0,7,1
9,10.777777777777779,5.9773234028056725,6.0,2.309401076758503,1,18,1,9,1
4,9.0,3.082207001484488,7.0,1.4142135623730951,6,14,5,9,0
12,12.0,4.02077936060494,5.25,2.890357532670771,4,18,0,9,0
11,10.363636363636363,4.183793999637764,3.909090909090909,3.028787499810488,4,17,0,9,2
7,9.142857142857142,4.9114609821917385,4.571428571428571,2.0603150145508513,1,18,0,7,0
5,7.8,3.249615361854384,4.2,2.5612496949731396,3,11,1,8,0
4,6.0,4.415880433163924,4.0,3.24037034920393,1,13,0,9,2
6,6.833333333333333,4.412734098291242,4.833333333333333,2.544056253745625,1,13,0,8,0
12,9.416666666666666,3.4268141991586814,5.25,2.0052015692526606,2,15,1,9,0
9,11.0,6.0553007081949835,4.222222222222222,2.779999111821512,3,19,0,7,1
12,12.25,3.960744879438715,3.4166666666666665,2.4986107250941583,5,17,0,9,0
6,6.833333333333333,3.435921354681384,5.166666666666667,1.3437096247164249,1,12,4,7,0
15,10.4,5.908186410961207,6.266666666666667,2.379542439676633,1,19,2,9,1
9,11.222222222222221,4.802262841105402,4.666666666666667,2.357022603955158,5,19,1,8,0
14,8.357142857142858,4.936846055893564,5.714285714285714,2.839229559193113,1,18,1,9,0
10,10.5,4.455333881989093,4.6,1.3564659966250536,4,18,2,6,0
5,13.0,4.604345773288535,4.2,3.4871191548325386,5,18,0,8,2
15,9.266666666666667,4.850658603621667,4.8,2.9933259094191533,2,18,0,9,0
11,10.363636363636363,4.497933409764721,4.181818181818182,3.157046428033698,2,16,0,9,2
5,8.0,6.164414002968976,3.2,2.039607805437114,1,18,1,7,1
7,11.571428571428571,5.038626311013828,3.0,2.9760952365713798,2,18,0,8,1
14,8.285714285714286,5.118992247762548,5.0,2.591193878173865,1,19,0,9,1
15,12.066666666666666,5.334999739664681,3.933333333333333,3.172100600898752,2,19,0,9,1
8,11.125,5.775757526073961,6.75,2.537222891273055,1,19,2,9,1
8,10.375,5.31360282670807,4.0,2.692582403567252,4,19,1,9,1
3,7.666666666666667,4.4969125210773475,3.3333333333333335,2.8674417556808756,2,13,0,7,0
14,11.428571428571429,4.791574237499549,4.928571428571429,2.9390058016344263,1,18,0,9,0
11,9.090909090909092,5.567022142689042,5.454545454545454,3.3128849378706544,1,17,0,9,1
9,11.555555555555555,6.308919807368174,5.444444444444445,2.3147407395555173,2,19,2,8,1
6,5.5,3.0413812651491097,5.0,2.0816659994661326,1,11,1,8,0
6,13.333333333333334,4.149966532662911,4.833333333333333,2.5440562537456244,6,18,0,7,0
13,10.76923076923077,6.191232587033503,4.615384615384615,3.47603800852154,1,19,0,9,1
8,7.5,5.766281297335398,3.75,2.817356917396161,1,17,0,7,1
13,9.153846153846153,5.722373819506858,3.3076923076923075,2.699989042274499,1,17,0,9,1
9,11.0,4.760952285695233,4.777777777777778,2.657391276244755,4,17,0,8,0
7,8.142857142857142,4.2233558568841385,3.7142857142857144,2.249716535431946,1,13,0,6,0
